"","pop_city","sec_city","gdp_city","pgdp_city","firm_city","gonglu","emit_ww","emit_so1","emi_dust1","city_code"
"58",104,67251,2641031,25244,108,610,4101,17977,1687897,100357
"59",145,55440,4373971,29959,127,1260,3009,32817,1757381,41327
"60",276,258664,26100031,94690,356,1515,NA,69376,1703152,98749
"61",118,22021,2512167,21043,92,752,725,14862,656991,66112
"62",238,38711,8450332,36878,314,2095,463,18354,1222735,14781
"63",80,45729,2166414,26500,67,592,913,32592,951735,65987
"64",259,74387,13681181,49618,483,NA,9904,7330,NA,61896
"65",163,18815,4708056,27889,99,526,762,21598,647354,70316
"66",543,74734,13163122,24109,373,3593,1816,13498,275577,45344
"67",1450,2183999,281786500,116562,8351,3402,36599,NA,NA,93997
"68",663,906756,105030200,127264,2661,8490,21624,259170,6820727,44998
"69",486,726198,92100200,141258,4888,5785,20935,301167,4931395,93779
"70",1041,561116,58085200,66845,2992,13217,8694,431315,3704938,39975
"71",375,409972,57738600,122721,4139,5423,12178,112617,3337019,14333
"72",678,2142399,154750900,145556,9616,31589,48437,584754,7366348,64738
"73",767,1667714,67682000,92702,5071,8204,15367,273698,3932121,73969
"74",534,222287,23764800,52987,1815,4654,6769,87830,1668463,72280
"75",568,448202,30480000,62446,2609,7226,6624,98668,3482833,60010
"76",831,536894,45760800,63278,3185,8283,14207,161628,1845059,60474
"77",462,761353,44493800,99151,2686,3840,8233,158902,1540946,64458
"78",272,288363,38338400,120603,2635,3574,7981,269647,3836094,63742
"79",736,1466661,113137223,124286,5684,12282,28382,114894,3987001,33655
"80",591,925029,86864911,110656,7286,4813,15760,922571,6014603,70802
"81",818,592671,51015586,55779,4871,22125,5012,149419,1636896,23205
"82",352,521634,38621104,83968,5051,3000,19763,194520,1765111,60294
"83",265,326700,22843743,77110,2806,4925,8532,89112,3599189,86253
"84",445,1109959,47890304,96204,4430,2957,24383,104292,597026,48418
"85",481,610948,36849362,67158,3968,12235,6467,78523,1601472,49697
"86",257,86264,12515883,58281,934,4913,10693,69871,1996610,28474
